point_index,x,y,z,segment_index,segment_u,segment_v,segment_edge_key,segment_weight,cumulative_cost
0,35.367720,110.468887,65.600001,0,315,178,0,0.631484,0.000000
1,35.939150,110.826984,65.600001,0,315,178,0,0.631484,0.000000
2,36.571533,111.246033,65.472001,0,315,178,0,0.631484,0.000000
3,37.142963,111.611748,65.344001,0,315,178,0,0.631484,0.000000
4,37.714394,112.091749,64.928001,0,315,178,0,0.631484,0.000000
5,38.285824,112.480322,64.672001,0,315,178,0,0.631484,0.000000
6,38.857254,112.960323,64.256001,0,315,178,0,0.631484,0.000000
7,39.428684,113.326039,64.128001,0,315,178,0,0.631484,0.000000
8,40.000114,113.714611,63.872001,0,315,178,0,0.631484,0.000000
9,40.571545,114.011755,63.872001,0,315,178,0,0.631484,0.000000
10,41.142975,114.286041,63.712001,0,315,178,0,0.631484,0.000000
11,41.714405,114.377470,64.000001,0,315,178,0,0.631484,0.000000
12,42.285835,114.400327,64.256001,0,315,178,0,0.631484,0.000000
13,42.765837,114.194612,64.928001,0,315,178,0,0.631484,0.000000
14,43.154409,113.897469,65.600001,0,315,178,0,0.631484,0.000000
15,43.245838,113.623182,66.400001,0,315,178,0,0.631484,0.000000
16,43.154409,113.326039,67.200001,0,315,178,0,0.631484,0.000000
17,42.857265,113.143181,68.000001,0,315,178,0,0.631484,0.000000
18,35.367720,110.468887,65.600001,1,178,10,0,0.624648,0.631484
19,34.796290,110.072696,64.800001,1,178,10,0,0.624648,0.631484
20,34.285812,109.714600,64.000001,1,178,10,0,0.624648,0.631484
21,33.714382,109.326027,63.328001,1,178,10,0,0.624648,0.631484
22,33.142952,109.051741,62.784001,1,178,10,0,0.624648,0.631484
23,32.571522,108.754597,62.400001,1,178,10,0,0.624648,0.631484
24,32.000092,108.571739,62.144001,1,178,10,0,0.624648,0.631484
25,31.428661,108.388882,61.856001,1,178,10,0,0.624648,0.631484
26,30.857231,108.091738,61.600001,1,178,10,0,0.624648,0.631484
27,30.285801,107.817451,61.344001,1,178,10,0,0.624648,0.631484
28,29.714371,107.428879,61.056001,1,178,10,0,0.624648,0.631484
29,29.142941,107.131735,60.928001,1,178,10,0,0.624648,0.631484
30,28.571510,106.948877,60.800001,1,178,10,0,0.624648,0.631484
31,28.000080,106.766020,60.800001,1,178,10,0,0.624648,0.631484
32,27.428650,106.674591,60.800001,1,178,10,0,0.624648,0.631484
33,26.857220,106.377447,60.800001,1,178,10,0,0.624648,0.631484
34,26.285789,106.103161,60.800001,1,178,10,0,0.624648,0.631484
35,25.714359,105.623159,60.800001,1,178,10,0,0.624648,0.631484
36,25.142929,105.143158,60.928001,1,178,10,0,0.624648,0.631484
37,24.571499,104.571728,61.056001,1,178,10,0,0.624648,0.631484
38,24.000069,104.000298,61.472001,1,178,10,0,0.624648,0.631484
39,23.520067,103.428867,61.728001,1,178,10,0,0.624648,0.631484
